id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
44187,Rep. Tom Emmer [R-MN6],"Emmer, Tom (Rep.) [R-MN6]",Republican,MN,6,1/3/2017,1/3/2019,
44189,Rep. David Rouzer [R-NC7],"Rouzer, David (Rep.) [R-NC7]",Republican,NC,7,1/3/2017,1/3/2019,
44190,Rep. Tom MacArthur [R-NJ3],"MacArthur, Tom (Rep.) [R-NJ3]",Republican,NJ,3,1/3/2017,1/3/2019,
44191,Rep. Bonnie Watson Coleman [D-NJ12],"Watson Coleman, Bonnie (Rep.) [D-NJ12]",Democrat,NJ,12,1/3/2017,1/3/2019,
44192,Rep. Lee Zeldin [R-NY1],"Zeldin, Lee (Rep.) [R-NY1]",Republican,NY,1,1/3/2017,1/3/2019,
44193,Rep. Kathleen Rice [D-NY4],"Rice, Kathleen (Rep.) [D-NY4]",Democrat,NY,4,1/3/2017,1/3/2019,
44194,Rep. Elise Stefanik [R-NY21],"Stefanik, Elise (Rep.) [R-NY21]",Republican,NY,21,1/3/2017,1/3/2019,
44195,Rep. John Katko [R-NY24],"Katko, John (Rep.) [R-NY24]",Republican,NY,24,1/3/2017,1/3/2019,
44196,Rep. Steve Russell [R-OK5],"Russell, Steve (Rep.) [R-OK5]",Republican,OK,5,1/3/2017,1/3/2019,
44197,Rep. Ryan Costello [R-PA6],"Costello, Ryan (Rep.) [R-PA6]",Republican,PA,6,1/3/2017,1/3/2019,
44198,Rep. Brendan Boyle [D-PA13],"Boyle, Brendan (Rep.) [D-PA13]",Democrat,PA,13,1/3/2017,1/3/2019,
44199,Rep. John Ratcliffe [R-TX4],"Ratcliffe, John (Rep.) [R-TX4]",Republican,TX,4,1/3/2017,1/3/2019,
44200,Rep. Will Hurd [R-TX23],"Hurd, Will (Rep.) [R-TX23]",Republican,TX,23,1/3/2017,1/3/2019,
44201,Rep. Brian Babin [R-TX36],"Babin, Brian (Rep.) [R-TX36]",Republican,TX,36,1/3/2017,1/3/2019,
44202,Rep. Mia Love [R-UT4],"Love, Mia (Rep.) [R-UT4]",Republican,UT,4,1/3/2017,1/3/2019,
44203,Rep. Donald Beyer [D-VA8],"Beyer, Donald (Rep.) [D-VA8]",Democrat,VA,8,1/3/2017,1/3/2019,
44204,Rep. Barbara Comstock [R-VA10],"Comstock, Barbara (Rep.) [R-VA10]",Republican,VA,10,1/3/2017,1/3/2019,
44205,Rep. Stacey Plaskett [D-VI0],"Plaskett, Stacey (Rep.) [D-VI0]",Democrat,VI,0,1/3/2017,1/3/2019,
44206,Rep. Dan Newhouse [R-WA4],"Newhouse, Dan (Rep.) [R-WA4]",Republican,WA,4,1/3/2017,1/3/2019,
44207,Rep. Glenn Grothman [R-WI6],"Grothman, Glenn (Rep.) [R-WI6]",Republican,WI,6,1/3/2017,1/3/2019,
44208,Rep. Alex Mooney [R-WV2],"Mooney, Alex (Rep.) [R-WV2]",Republican,WV,2,1/3/2017,1/3/2019,
44209,Rep. Evan Jenkins [R-WV3],"Jenkins, Evan (Rep.) [R-WV3]",Republican,WV,3,1/3/2017,1/3/2019,
44210,Rep. Aumua Amata [R-AS0],"Amata, Aumua (Rep.) [R-AS0]",Republican,AS,0,1/3/2017,1/3/2019,
44211,Rep. Mark Walker [R-NC6],"Walker, Mark (Rep.) [R-NC6]",Republican,NC,6,1/3/2017,1/3/2019,
44212,Rep. Daniel Donovan [R-NY11],"Donovan, Daniel (Rep.) [R-NY11]",Republican,NY,11,1/3/2017,1/3/2019,
44213,Rep. Trent Kelly [R-MS1],"Kelly, Trent (Rep.) [R-MS1]",Republican,MS,1,1/3/2017,1/3/2019,
44214,Rep. Darin LaHood [R-IL18],"LaHood, Darin (Rep.) [R-IL18]",Republican,IL,18,1/3/2017,1/3/2019,
44215,Rep. Warren Davidson [R-OH8],"Davidson, Warren (Rep.) [R-OH8]",Republican,OH,8,1/3/2017,1/3/2019,
44216,Rep. James Comer [R-KY1],"Comer, James (Rep.) [R-KY1]",Republican,KY,1,1/3/2017,1/3/2019,
44217,Rep. Dwight Evans [D-PA2],"Evans, Dwight (Rep.) [D-PA2]",Democrat,PA,2,1/3/2017,1/3/2019,
44222,Rep. Tom O'Halleran [D-AZ1],"O'Halleran, Tom (Rep.) [D-AZ1]",Democrat,AZ,1,1/3/2017,1/3/2019,
44223,Rep. Andy Biggs [R-AZ5],"Biggs, Andy (Rep.) [R-AZ5]",Republican,AZ,5,1/3/2017,1/3/2019,
44224,Rep. Ro Khanna [D-CA17],"Khanna, Ro (Rep.) [D-CA17]",Democrat,CA,17,1/3/2017,1/3/2019,
44225,Rep. Jimmy Panetta [D-CA20],"Panetta, Jimmy (Rep.) [D-CA20]",Democrat,CA,20,1/3/2017,1/3/2019,
44226,Rep. Salud Carbajal [D-CA24],"Carbajal, Salud (Rep.) [D-CA24]",Democrat,CA,24,1/3/2017,1/3/2019,
44227,Rep. Nanette Barragán [D-CA44],"Barragán, Nanette (Rep.) [D-CA44]",Democrat,CA,44,1/3/2017,1/3/2019,
44228,Rep. Luis Correa [D-CA46],"Correa, Luis (Rep.) [D-CA46]",Democrat,CA,46,1/3/2017,1/3/2019,
44229,Rep. Lisa Blunt Rochester [D-DE0],"Blunt Rochester, Lisa (Rep.) [D-DE0]",Democrat,DE,0,1/3/2017,1/3/2019,
44230,Rep. Matt Gaetz [R-FL1],"Gaetz, Matt (Rep.) [R-FL1]",Republican,FL,1,1/3/2017,1/3/2019,
44231,Rep. Neal Dunn [R-FL2],"Dunn, Neal (Rep.) [R-FL2]",Republican,FL,2,1/3/2017,1/3/2019,
44232,Rep. John Rutherford [R-FL4],"Rutherford, John (Rep.) [R-FL4]",Republican,FL,4,1/3/2017,1/3/2019,
44233,Rep. Al Lawson [D-FL5],"Lawson, Al (Rep.) [D-FL5]",Democrat,FL,5,1/3/2017,1/3/2019,
44234,Rep. Stephanie Murphy [D-FL7],"Murphy, Stephanie (Rep.) [D-FL7]",Democrat,FL,7,1/3/2017,1/3/2019,
44235,Rep. Darren Soto [D-FL9],"Soto, Darren (Rep.) [D-FL9]",Democrat,FL,9,1/3/2017,1/3/2019,
44236,Rep. Val Demings [D-FL10],"Demings, Val (Rep.) [D-FL10]",Democrat,FL,10,1/3/2017,1/3/2019,
44237,Rep. Charlie Crist [D-FL13],"Crist, Charlie (Rep.) [D-FL13]",Democrat,FL,13,1/3/2017,1/3/2019,
44238,Rep. Brian Mast [R-FL18],"Mast, Brian (Rep.) [R-FL18]",Republican,FL,18,1/3/2017,1/3/2019,
44239,Rep. Francis Rooney [R-FL19],"Rooney, Francis (Rep.) [R-FL19]",Republican,FL,19,1/3/2017,1/3/2019,
44240,Rep. Drew Ferguson [R-GA3],"Ferguson, Drew (Rep.) [R-GA3]",Republican,GA,3,1/3/2017,1/3/2019,
44241,Rep. Raja Krishnamoorthi [D-IL8],"Krishnamoorthi, Raja (Rep.) [D-IL8]",Democrat,IL,8,1/3/2017,1/3/2019,
44242,Rep. Jim Banks [R-IN3],"Banks, Jim (Rep.) [R-IN3]",Republican,IN,3,1/3/2017,1/3/2019,
44243,Rep. Trey Hollingsworth [R-IN9],"Hollingsworth, Trey (Rep.) [R-IN9]",Republican,IN,9,1/3/2017,1/3/2019,
44244,Rep. Roger Marshall [R-KS1],"Marshall, Roger (Rep.) [R-KS1]",Republican,KS,1,1/3/2017,1/3/2019,
44245,Rep. Clay Higgins [R-LA3],"Higgins, Clay (Rep.) [R-LA3]",Republican,LA,3,1/3/2017,1/3/2019,
44246,Rep. Mike Johnson [R-LA4],"Johnson, Mike (Rep.) [R-LA4]",Republican,LA,4,1/3/2017,1/3/2019,
44247,Rep. Anthony Brown [D-MD4],"Brown, Anthony (Rep.) [D-MD4]",Democrat,MD,4,1/3/2017,1/3/2019,
44248,Rep. Jamie Raskin [D-MD8],"Raskin, Jamie (Rep.) [D-MD8]",Democrat,MD,8,1/3/2017,1/3/2019,
44249,Rep. Jack Bergman [R-MI1],"Bergman, Jack (Rep.) [R-MI1]",Republican,MI,1,1/3/2017,1/3/2019,
44250,Rep. Paul Mitchell [R-MI10],"Mitchell, Paul (Rep.) [R-MI10]",Republican,MI,10,1/3/2017,1/3/2019,
44251,Rep. Jason Lewis [R-MN2],"Lewis, Jason (Rep.) [R-MN2]",Republican,MN,2,1/3/2017,1/3/2019,
44252,Rep. Ted Budd [R-NC13],"Budd, Ted (Rep.) [R-NC13]",Republican,NC,13,1/3/2017,1/3/2019,
44253,Rep. Don Bacon [R-NE2],"Bacon, Don (Rep.) [R-NE2]",Republican,NE,2,1/3/2017,1/3/2019,
44254,Rep. Josh Gottheimer [D-NJ5],"Gottheimer, Josh (Rep.) [D-NJ5]",Democrat,NJ,5,1/3/2017,1/3/2019,
44255,Rep. Jacky Rosen [D-NV3],"Rosen, Jacky (Rep.) [D-NV3]",Democrat,NV,3,1/3/2017,1/3/2019,
44256,Rep. Ruben Kihuen [D-NV4],"Kihuen, Ruben (Rep.) [D-NV4]",Democrat,NV,4,1/3/2017,1/3/2019,
44257,Rep. Thomas Suozzi [D-NY3],"Suozzi, Thomas (Rep.) [D-NY3]",Democrat,NY,3,1/3/2017,1/3/2019,
